id,name,api_path,method,module,created_at,updated_at,created_by,updated_by
1,Create a company,/api/v1/companies,POST,COMPANIES,2025-02-21 02:38:57,,,
2,Update a company,/api/v1/companies,PUT,COMPANIES,2025-02-21 02:38:57,,,
3,Delete a company,/api/v1/companies/{id},DELETE,COMPANIES,2025-02-21 02:38:57,,,
4,Get a company by id,/api/v1/companies/{id},GET,COMPANIES,2025-02-21 02:38:57,,,
5,Get companies with pagination,/api/v1/companies,GET,COMPANIES,2025-02-21 02:38:57,,,
6,Create a job,/api/v1/jobs,POST,JOBS,2025-02-21 02:38:57,,,
7,Update a job,/api/v1/jobs,PUT,JOBS,2025-02-21 02:38:57,,,
8,Delete a job,/api/v1/jobs/{id},DELETE,JOBS,2025-02-21 02:38:57,,,
9,Get a job by id,/api/v1/jobs/{id},GET,JOBS,2025-02-21 02:38:57,,,
10,Get jobs with pagination,/api/v1/jobs,GET,JOBS,2025-02-21 02:38:57,,,
11,Create a permission,/api/v1/permissions,POST,PERMISSIONS,2025-02-21 02:38:57,,,
12,Update a permission,/api/v1/permissions,PUT,PERMISSIONS,2025-02-21 02:38:57,,,
13,Delete a permission,/api/v1/permissions/{id},DELETE,PERMISSIONS,2025-02-21 02:38:57,,,
14,Get a permission by id,/api/v1/permissions/{id},GET,PERMISSIONS,2025-02-21 02:38:57,,,
15,Get permissions with pagination,/api/v1/permissions,GET,PERMISSIONS,2025-02-21 02:38:57,,,
16,Create a resume,/api/v1/resumes,POST,RESUMES,2025-02-21 02:38:57,,,
17,Update a resume,/api/v1/resumes,PUT,RESUMES,2025-02-21 02:38:57,,,
18,Delete a resume,/api/v1/resumes/{id},DELETE,RESUMES,2025-02-21 02:38:57,,,
19,Get a resume by id,/api/v1/resumes/{id},GET,RESUMES,2025-02-21 02:38:57,,,
20,Get resumes with pagination,/api/v1/resumes,GET,RESUMES,2025-02-21 02:38:57,,,
21,Create a role,/api/v1/roles,POST,ROLES,2025-02-21 02:38:57,,,
22,Update a role,/api/v1/roles,PUT,ROLES,2025-02-21 02:38:57,,,
23,Delete a role,/api/v1/roles/{id},DELETE,ROLES,2025-02-21 02:38:57,,,
24,Get a role by id,/api/v1/roles/{id},GET,ROLES,2025-02-21 02:38:57,,,
25,Get roles with pagination,/api/v1/roles,GET,ROLES,2025-02-21 02:38:57,,,
26,Create a user,/api/v1/users,POST,USERS,2025-02-21 02:38:57,,,
27,Update a user,/api/v1/users,PUT,USERS,2025-02-21 02:38:57,,,
28,Delete a user,/api/v1/users/{id},DELETE,USERS,2025-02-21 02:38:57,,,
29,Get a user by id,/api/v1/users/{id},GET,USERS,2025-02-21 02:38:57,,,
30,Get users with pagination,/api/v1/users,GET,USERS,2025-02-21 02:38:57,,,
31,Create a subscriber,/api/v1/subscribers,POST,SUBSCRIBERS,2025-02-21 02:38:57,,,
32,Update a subscriber,/api/v1/subscribers,PUT,SUBSCRIBERS,2025-02-21 02:38:57,,,
33,Delete a subscriber,/api/v1/subscribers/{id},DELETE,SUBSCRIBERS,2025-02-21 02:38:57,,,
34,Get a subscriber by id,/api/v1/subscribers/{id},GET,SUBSCRIBERS,2025-02-21 02:38:57,,,
35,Get subscribers with pagination,/api/v1/subscribers,GET,SUBSCRIBERS,2025-02-21 02:38:57,,,
36,Download a file,/api/v1/files,GET,FILES,2025-02-21 02:38:57,,,
37,Upload a file,/api/v1/files,POST,FILES,2025-02-21 02:38:57,,,
38,Send mail,/api/v1/email,GET,EMAILS,2025-02-21 02:38:57,,,
