id,name,created_at,updated_at,created_by,updated_by
1,Swift,2025-02-21 02:38:58,,"",
2,Kotlin,2025-02-21 02:38:58,,"",
3,React,2025-02-21 02:38:58,,"",
4,Node.js,2025-02-21 02:38:58,,"",
5,Python,2025-02-21 02:38:58,,"",
6,TensorFlow,2025-02-21 02:38:58,,"",
7,AWS,2025-02-21 02:38:58,,"",
8,C++,2025-02-21 02:38:58,,"",
9,SQL,2025-02-21 02:38:58,,"",
10,CI/CD,2025-02-21 02:38:58,,"",
11,Machine Learning,2025-02-21 02:38:58,,"",
12,UI/UX Design,2025-02-21 02:38:58,,"",
13,Docker,2025-02-21 02:38:58,,"",
14,GraphQL,2025-02-21 02:38:58,,"",
15,Site Reliability,2025-02-21 02:38:58,,"",
16,AR/VR,2025-02-21 02:38:58,,"",
17,Java,2025-02-21 02:38:58,,"",
18,Spring Boot,2025-02-21 02:38:58,,"",
